region_id,Zoning
8b2a8ac605a2fff,15
8b2a8ac66c18fff,15
8b2a8ad484b4fff,2
8b2a8ad4b65cfff,0
8b2a8ac64510fff,15
8b2a8ac60622fff,2
8b2a8a89274bfff,3
8b2a8a89666cfff,0
8b2a8ac61616fff,15
8b2a8ac66818fff,15
8b2a8ac6082cfff,5
8b2a8ad59761fff,15
8b2a8ac66919fff,15
8b2a8ad596c6fff,15
8b2a8a8922dcfff,2
8b2a8a892ceefff,10
8b2a8ac61130fff,3
8b2a8ac66bb2fff,15
8b2a8a892d66fff,0
8b2a8ac6c12bfff,15
8b2a8ad4a936fff,15
8b2a8a8964d1fff,0
8b2a8ac60cc6fff,15
8b2a8ad48082fff,0
8b2a8ac64d69fff,15
8b2a8ac63335fff,15
8b2a8ad4a020fff,0
8b2a8ad4b675fff,0
8b2a8ad4a85dfff,2
8b2a8ad4a85dfff,15
8b2a8ad5b31bfff,15
8b2a8ac61c5afff,3
8b2a8a893752fff,15
8b2a8ac65bb4fff,2
8b2a8ac65bb4fff,11
8b2a8ac656d4fff,5
8b2a8ac64c5afff,15
8b2a8ac66515fff,15
8b2a8ad59766fff,15
8b2a8ac61d86fff,5
8b2a8ac628d2fff,15
8b2a8ac64d68fff,15
8b2a8ac66ae6fff,15
8b2a8ad4ad81fff,15
8b2a8ac64165fff,11
8b2a8ac64165fff,2
8b2a8a89276afff,3
8b2a8ac6471dfff,2
8b2a8ad4b249fff,0
8b2a8ad4b315fff,0
8b2a8ac64cf3fff,15
8b2a8ac66501fff,15
8b2a8ac61572fff,15
8b2a8ad59a96fff,15
8b2a8ac65d1afff,1
8b2a8a892005fff,10
8b2a8a8936b2fff,6
8b2a8ac64095fff,2
8b2a8ac669a1fff,15
8b2a8ac62991fff,15
8b2a8ac62033fff,15
8b2a8ac648eefff,2
8b2a8ac65790fff,5
8b2a8ac65065fff,0
8b2a8ac65b23fff,0
8b2a8ac6428efff,10
8b2a8ac66441fff,15
8b2a8ad4a1aefff,15
8b2a8ad4b21cfff,1
8b2a8ad59681fff,15
8b2a8a892790fff,3
8b2a8ac6045afff,15
8b2a8ac6185bfff,3
8b2a8ac61968fff,3
8b2a8ac669aefff,15
8b2a8ad4b893fff,2
8b2a8ac61691fff,15
8b2a8a893628fff,15
8b2a8a893628fff,6
8b2a8ac61932fff,5
8b2a8ad4a7b2fff,15
8b2a8a89215afff,11
8b2a8ac60ba1fff,5
8b2a8ad4ad95fff,15
8b2a8ac63b83fff,15
8b2a8ac6415bfff,8
8b2a8a8964e5fff,0
8b2a8ac662d6fff,15
8b2a8ac64549fff,2
8b2a8a893785fff,6
8b2a8ad4b34cfff,0
8b2a8ad4b34cfff,8
8b2a8ac64a5efff,1
8b2a8a8964e0fff,0
8b2a8ad592a3fff,15
8b2a8ac61410fff,15
8b2a8ac602adfff,15
8b2a8ac63c4cfff,2
8b2a8ac63572fff,15
8b2a8a892019fff,10
8b2a8a89211cfff,10
8b2a8a89211cfff,0
8b2a8ac6c102fff,15
8b2a8ac663a4fff,15
8b2a8a896385fff,0
8b2a8ac60a34fff,5
8b2a8ac65a8dfff,1
8b2a8ac6ddadfff,7
8b2a8ad4844cfff,0
8b2a8ac61415fff,15
8b2a8ac61435fff,15
8b2a8ac61d52fff,5
8b2a8a8922c3fff,6
8b2a8a8922c3fff,2
8b2a8a8922c3fff,0
8b2a8ac63c54fff,15
8b2a8ac60319fff,15
8b2a8ac60a9efff,5
8b2a8ad5b2ccfff,15
8b2a8ac64388fff,0
8b2a8a893574fff,15
8b2a8ac64533fff,15
8b2a8ac6eda6fff,15
8b2a8ac6c202fff,10
8b2a8ad4b2c8fff,1
8b2a8a892499fff,3
8b2a8a89295efff,2
8b2a8a89295efff,0
8b2a8ac63541fff,15
8b2a8ad4a542fff,15
8b2a8ac614abfff,15
8b2a8ac6c055fff,7
8b2a8ad4bd73fff,2
8b2a8ac63134fff,2
8b2a8ad59b8dfff,15
8b2a8ad59b8dfff,2
8b2a8ad5b39bfff,15
8b2a8ac6132afff,15
8b2a8ac63cd8fff,15
8b2a8ac6458afff,15
8b2a8a8928d1fff,0
8b2a8ad4ab14fff,2
8b2a8ac6cac8fff,7
8b2a8a8926a9fff,2
8b2a8a8926a9fff,3
8b2a8ac6c009fff,7
8b2a8ac6c009fff,15
8b2a8ad4ab34fff,2
8b2a8ac6665afff,15
8b2a8ac6c196fff,15
8b2a8ac60a66fff,5
8b2a8ac6098afff,8
8b2a8ac65a52fff,1
8b2a8ac6505dfff,11
8b2a8ac6505dfff,14
8b2a8ac61c91fff,15
8b2a8ac66c28fff,15
8b2a8ac6cd1dfff,3
8b2a8ac63baefff,15
8b2a8ad4a543fff,15
8b2a8ac63324fff,15
8b2a8ad596f6fff,15
8b2a8ac6c813fff,3
8b2a8ac61842fff,3
8b2a8ac6136efff,15
8b2a8ac65d84fff,2
8b2a8ac661b1fff,15
8b2a8ad4a346fff,0
8b2a8ac6422cfff,0
8b2a8ac600a4fff,2
8b2a8ad4a852fff,15
8b2a8ac6636efff,15
8b2a8ac62b42fff,15
8b2a8ac65024fff,14
8b2a8ac66791fff,15
8b2a8ad5b2a6fff,15
8b2a8ad59368fff,15
8b2a8ad5b30dfff,15
8b2a8a8930d1fff,6
8b2a8a8930d1fff,15
8b2a8ac615a1fff,15
8b2a8ac62c09fff,15
8b2a8ac61cc3fff,3
8b2a8ac61cc3fff,15
8b2a8ac6432afff,0
8b2a8ac65d92fff,2
8b2a8ac65d92fff,0
8b2a8ac6614afff,15
8b2a8ad59a28fff,15
8b2a8ad59a28fff,2
8b2a8ad4b356fff,0
8b2a8a89286dfff,0
8b2a8ad4b413fff,2
8b2a8ad4a6ddfff,15
8b2a8ad4a6ddfff,2
8b2a8a896295fff,0
8b2a8ac6410dfff,2
8b2a8a892011fff,10
8b2a8ac63d50fff,2
8b2a8ac63d50fff,15
