region_id_left,Zoning
8c2a8ac644723ff,2
8c2a8ac600e9bff,15
8c2a8ad4bd361ff,2
8c2a8ac667019ff,15
8c2a8ad4a0f4bff,15
8c2a8ad4bc6d9ff,2
8c2a8ac64583bff,15
8c2a8ac66a615ff,15
8c2a8ac6cd445ff,3
8c2a8ad59234dff,15
8c2a8ac652b31ff,5
8c2a8ac666683ff,15
8c2a8ad4b29c1ff,0
8c2a8ac6582ddff,1
8c2a8ac60225dff,15
8c2a8ac6396c9ff,15
8c2a8ad4b705bff,0
8c2a8ac63b181ff,15
8c2a8ac666347ff,15
8c2a8ad5964b9ff,15
8c2a8a89206c9ff,8
8c2a8ad4a4649ff,15
8c2a8ac650e39ff,5
8c2a8ad4b2e09ff,0
8c2a8ac6619d7ff,15
8c2a8ac6189dbff,3
8c2a8a89224bbff,15
8c2a8ac6cd497ff,3
8c2a8ac608e41ff,5
8c2a8a8934211ff,6
8c2a8ac62d4ebff,15
8c2a8ad596497ff,15
8c2a8ac61a15bff,3
8c2a8ac66a903ff,15
8c2a8a892a067ff,0
8c2a8ac6cc53dff,15
8c2a8ad4a1895ff,15
8c2a8ac666b09ff,15
8c2a8ad4b4d5dff,2
8c2a8ac6590b1ff,0
8c2a8ad4b60d7ff,0
8c2a8ac608751ff,5
8c2a8a892020dff,10
8c2a8ac60adb5ff,5
8c2a8a896218dff,2
8c2a8ac6086a1ff,5
8c2a8a8927125ff,3
8c2a8ac644b3bff,15
8c2a8a89664e9ff,0
8c2a8ac606c51ff,2
8c2a8ad59a12bff,2
8c2a8ac6cb24dff,6
8c2a8ac6c1033ff,15
8c2a8ac666b57ff,15
8c2a8ac629861ff,15
8c2a8ad596c5bff,15
8c2a8ad4a050dff,0
8c2a8ad4ad6e1ff,15
8c2a8ac60ad43ff,5
8c2a8ac64cacdff,15
8c2a8ac6064adff,2
8c2a8ad4b2ae3ff,0
8c2a8ac638461ff,15
8c2a8ad4b6207ff,0
8c2a8ac66a82bff,15
8c2a8ac6c3907ff,3
8c2a8ac63b707ff,15
8c2a8ac64a55dff,1
8c2a8ad4aa291ff,2
8c2a8ac64824bff,2
8c2a8ac654835ff,5
8c2a8ac6cb0b9ff,6
8c2a8ad4b76c5ff,0
8c2a8ac60c8ddff,15
8c2a8ad4b60bdff,0
8c2a8ac61a4a9ff,3
8c2a8ad59b8d5ff,15
8c2a8ad4b01edff,0
8c2a8ad5b28c1ff,15
8c2a8ac60196dff,2
8c2a8ad5b2a25ff,15
8c2a8ac63a149ff,15
8c2a8ac6c76ddff,3
8c2a8ac652ad7ff,3
8c2a8ac660e55ff,15
8c2a8ac62153dff,2
8c2a8ac653527ff,0
8c2a8ac668835ff,15
8c2a8a8964b6dff,0
8c2a8ad4e2f47ff,15
8c2a8a896208dff,2
8c2a8ad4a85bdff,15
8c2a8ac60a367ff,5
8c2a8ad4a8cc1ff,0
8c2a8ac605aa1ff,15
8c2a8ac62a891ff,15
8c2a8a892366bff,1
8c2a8ac601827ff,2
8c2a8ad4b88a5ff,2
8c2a8ac656a63ff,5
8c2a8ad4a933bff,15
8c2a8a8925611ff,0
8c2a8a8934725ff,6
8c2a8ad4b2e51ff,0
8c2a8ac655253ff,5
8c2a8ac6161d1ff,15
8c2a8ad4b4e5dff,10
8c2a8ac60ba57ff,5
8c2a8ac650481ff,11
8c2a8ad4b21b5ff,0
8c2a8ac600987ff,11
8c2a8ac66a0d5ff,15
8c2a8ad4a6295ff,15
8c2a8ad5d249dff,15
8c2a8ac65704bff,5
8c2a8ac660541ff,15
8c2a8ac628407ff,15
8c2a8a892c337ff,10
8c2a8ad4a8a99ff,15
8c2a8ac613ac7ff,15
8c2a8ac619291ff,3
8c2a8ac640c91ff,0
8c2a8ac6cc119ff,15
8c2a8ac60d1b5ff,15
8c2a8ac617157ff,15
8c2a8ac66a4c1ff,15
8c2a8a8936c23ff,6
8c2a8a8936c23ff,7
8c2a8ac61af03ff,3
8c2a8ac6c0907ff,15
8c2a8ac642ad3ff,0
8c2a8ad59b6b9ff,2
8c2a8ac606311ff,2
8c2a8ac646e81ff,15
8c2a8ad4b6e45ff,0
8c2a8a89341d9ff,6
8c2a8ac651b2bff,5
8c2a8ac650111ff,4
8c2a8ac650111ff,5
8c2a8ad4e6f6dff,15
8c2a8ac64d5abff,15
8c2a8ac64d5abff,16
8c2a8ac64d5abff,2
8c2a8ac664c25ff,15
8c2a8ac66b099ff,15
8c2a8ac642b1bff,10
8c2a8ac642b1bff,11
8c2a8ac6c1b2dff,15
8c2a8ac652e19ff,2
8c2a8ad4b4f49ff,2
8c2a8ad590cc7ff,15
8c2a8ac610031ff,15
8c2a8ac60698dff,15
8c2a8ac66aeb5ff,15
8c2a8ac6236d1ff,15
8c2a8ac600351ff,15
8c2a8ad4a9423ff,15
8c2a8ac628eb3ff,15
8c2a8ac602f15ff,15
8c2a8ac6ca243ff,6
8c2a8ac604cc1ff,15
8c2a8a892550bff,0
8c2a8a8927411ff,3
8c2a8ac610cd9ff,15
8c2a8ac75b641ff,15
8c2a8ac6018c9ff,13
8c2a8ac6018c9ff,2
8c2a8ad4a04c3ff,0
8c2a8ac66111bff,15
8c2a8ac6679b9ff,15
8c2a8ad593051ff,15
8c2a8ac606655ff,2
8c2a8a89651a1ff,0
8c2a8ad59b0a9ff,2
8c2a8ac652335ff,11
8c2a8ac64bb67ff,2
8c2a8ac62228bff,15
8c2a8ac63cc6bff,15
8c2a8ac65d2a5ff,0
8c2a8ac63d0abff,2
8c2a8ac63d0abff,15
8c2a8ac653809ff,11
8c2a8ad484065ff,2
8c2a8ad4b0167ff,0
8c2a8ac6c96c3ff,6
8c2a8ac64171dff,11
8c2a8ac64d451ff,15
8c2a8ac63b119ff,15
8c2a8ac621469ff,15
8c2a8ac66a293ff,15
8c2a8ac6384c5ff,15
8c2a8ac663447ff,15
8c2a8ac644aa9ff,15
8c2a8ac65cb19ff,2
8c2a8ad4ac0d7ff,15
