region_id,cluster
8a2a8a89638ffff,3
8a2a8ac6cc87fff,3
8a2a8ad4a8cffff,5
8a2a8ac6101ffff,13
8a2a8ac61807fff,9
8a2a8ac6c91ffff,-1
8a2a8a896487fff,7
8a2a8ac6585ffff,-1
8a2a8ac6cc47fff,3
8a2a8ac66687fff,5
8a2a8ac63057fff,3
8a2a8a89294ffff,3
8a2a8ad4abaffff,7
8a2a8ac64647fff,-1
8a2a8ad487affff,7
8a2a8a892d17fff,7
8a2a8ac61aeffff,0
8a2a8ad4e677fff,3
8a2a8ac6580ffff,23
8a2a8ac66887fff,4
8a2a8ac6c177fff,7
8a2a8ac62077fff,5
8a2a8ad4bc6ffff,-1
8a2a8ad4a68ffff,5
8a2a8ac6055ffff,13
8a2a8ac6418ffff,8
8a2a8ac66d07fff,15
8a2a8a896597fff,29
8a2a8ac61daffff,9
8a2a8ad4b077fff,3
8a2a8ac60b6ffff,9
8a2a8ac6219ffff,5
8a2a8ac65017fff,9
8a2a8ac6c56ffff,17
8a2a8ad5b2f7fff,3
8a2a8ac62c2ffff,4
8a2a8ad4b737fff,-1
8a2a8ad4a66ffff,7
8a2a8ac65257fff,-1
8a2a8ac64ca7fff,5
8a2a8a89664ffff,7
8a2a8ad592dffff,-1
8a2a8a896687fff,7
8a2a8ac604b7fff,14
8a2a8ad4aa97fff,7
8a2a8ac666dffff,4
8a2a8ad4a8f7fff,-1
8a2a8ac64ce7fff,5
8a2a8a892917fff,7
8a2a8ac62b0ffff,4
8a2a8a892967fff,3
8a2a8ac6cad7fff,-1
8a2a8ac61027fff,6
8a2a8ad4b1affff,3
8a2a8ac64b77fff,-1
8a2a8ad5b0effff,3
8a2a8ac66aeffff,7
8a2a8ad4b62ffff,7
8a2a8ac6535ffff,7
8a2a8ac63527fff,18
8a2a8ad4a697fff,5
8a2a8ac62377fff,-1
8a2a8ac664dffff,4
8a2a8ad4b417fff,11
8a2a8ad4bc67fff,8
8a2a8ac6cd17fff,0
8a2a8ac60627fff,-1
8a2a8a893567fff,3
8a2a8ac6105ffff,13
8a2a8ac6144ffff,5
8a2a8ac63a0ffff,5
8a2a8a892997fff,7
8a2a8ad48cd7fff,5
8a2a8ac65c6ffff,-1
8a2a8ac6621ffff,5
8a2a8ac60887fff,-1
8a2a8ac66457fff,4
8a2a8ac66d67fff,-1
8a2a8ac6386ffff,5
8a2a8ac6505ffff,23
8a2a8ac6100ffff,-1
8a2a8ad4879ffff,7
8a2a8ac666effff,5
8a2a8a89264ffff,7
8a2a8ad4a5a7fff,3
8a2a8ac6ca67fff,0
8a2a8ac66d27fff,15
8a2a8ac63d57fff,-1
8a2a8ac66987fff,4
8a2a8a892b1ffff,3
8a2a8ad4a997fff,3
8a2a8ac64a07fff,-1
8a2a8ac75b57fff,4
8a2a8a89222ffff,22
8a2a8ac60497fff,4
8a2a8ac610c7fff,13
8a2a8ac66837fff,4
8a2a8ac668c7fff,4
8a2a8ac6572ffff,9
8a2a8ac65177fff,-1
8a2a8ac6534ffff,7
8a2a8ac65d27fff,23
8a2a8a8925b7fff,-1
8a2a8ac60317fff,6
8a2a8ad59a2ffff,4
8a2a8ad59647fff,4
8a2a8ac61ae7fff,0
8a2a8ac61007fff,-1
8a2a8ac66057fff,-1
8a2a8ac610a7fff,5
8a2a8ac66187fff,15
8a2a8a892437fff,-1
8a2a8ac6026ffff,6
8a2a8ad4ac17fff,5
8a2a8ad4b4affff,11
8a2a8ac660cffff,-1
8a2a8ad4b40ffff,-1
8a2a8ac65917fff,-1
8a2a8ac65a67fff,-1
8a2a8ad4a90ffff,4
8a2a8ad48657fff,3
8a2a8ad4a02ffff,5
8a2a8a892c07fff,-1
